Estado,ent,Casos,R0_sin_control,R0_con_control,R0_sin_control,R0_con_control
AGUASCALIENTES,1,53,3.636674667,1.695372536,3.636675,1.695373
BAJA CALIFORNIA,2,222,2.370380043,3.581057758,2.37038,3.581058
BAJA CALIFORNIA SUR,3,66,2.773037337,0,2.773037,2.37
CAMPECHE,4,14,0,15.60781948,2.682023,1.7
COAHUILA,5,126,1.901915459,2.076407395,1.901915,2.076407
COLIMA,6,7,0,0,2.682023,2.37
CHIAPAS,7,33,0,3.082337651,2.682023,3.082338
CHIHUAHUA,8,42,1.729733691,2.394688935,1.729734,2.394689
DISTRITO FEDERAL,9,770,4.782038503,1.347089706,4.782039,1.34709
DURANGO,10,12,0,0,2.682023,2.37
GUANAJUATO,11,71,3.919549408,2.571980664,3.919549,3
GUERRERO,12,45,2.64860383,1.78240783,2.648604,1.782408
HIDALGO,13,44,0,0,2.682023,1.708076
JALISCO,14,132,3.114763101,1.695372536,3.114763,1.695373
MEXICO,15,461,3.240951162,1.861316148,3.240951,1.861316
MICHOACAN,16,41,6.671272906,11.31128291,6.671273,2.8
MORELOS,17,31,2.05693448,7.390287029,2.056934,2.056934
NAYARIT,18,14,1.488860553,0,1.488861,2.37
NUEVO LEON,19,100,1.9162824,1.516463195,1.916282,1.516463
OAXACA,20,40,1.949646605,1.391771167,1.949647,1.391771
PUEBLA,21,187,1.912565049,8.155999399,1.912565,1.912565
QUERETARO,22,46,1.340807011,0,1.340807,1.340807
QUINTANA ROO,23,150,1.773962428,46.85327175,1.773962,1.773962
SAN LUIS POTOSI,24,43,1.276094506,2.135127621,1.276095,2.135128
SINALOA,25,123,2.76735959,3.25766059,2.76736,3.257661
SONORA,26,45,1.552794959,2.919364215,1.552795,2.919364
TABASCO,27,104,1.876033591,3.925310561,1.876034,3.925311
TAMAULIPAS,28,45,1.427327057,3.183082501,1.427327,3.183083
TLAXCALA,29,29,2.318206302,0,2.318206,2.37
VERACRUZ,30,53,8.658333904,5.023571329,8.658334,1.94
YUCATAN,31,86,2.032336544,1.735962617,2.032337,1.735963
ZACATECAS,32,10,1.278159884,0,1.27816,2.37